u,v,name,highway,oneway,length,lanes,bridge,ref,junction,maxspeed,tunnel,access,id,cnt,n_id,Ratio
250692063,250691741,Σόλωνος,secondary,yes,70.386,2,,,,,,,,,161,1.549114680959831e-05
300401271,300401270,Σούτσου Αλ.,residential,yes,47.553,,,,,,,,,,162,1.032743120639888e-05
300401271,300401174,Δημοκρίτου,residential,yes,57.018,1,,,,,,,,,163,0.0002065486241279775
300401270,250692062,Σούτσου Αλ.,residential,yes,70.922,,,,,,,,,,164,5.163715603199438e-06
300401270,250691739,Βουκουρεστίου,residential,yes,53.244,,,,,,,,,,165,5.163715603199438e-06
250692359,300401271,Δημοκρίτου,residential,yes,52.778,1,,,,,,,,,166,0.0002168760553343764
250692359,250691739,Ακαδημίας,secondary,yes,46.755,4,,,,,,,,,167,0.009026174874392619
300401174,250691753,Σόλωνος,secondary,yes,68.504,2,,,,,,,,,168,0.000129092890079986
6220792260,250692063,"['Σόλωνος', 'Κανάρη']","['secondary', 'tertiary']",yes,261.511,2,,,,,,,,,169,0.001368384634847851
6220792260,6220792258,Ακαδημίας,secondary,yes,148.493,3,,,,,,,,,170,0.007089781523192828
363357735,250714051,Αιόλου,primary,yes,105.951,2,,ΕΟ1,,,,,,,171,0.002096468534898972
363357735,250700142,Σταδίου,primary,yes,41.554,3,,,,,,,,,172,0.001146344863910275
250691723,250691755,Αμερικής,tertiary,yes,169.074,2,,,,,,,,,173,0.001228964313561466
250691723,250691724,Πανεπιστημίου,primary,yes,79.632,5,,,,50,,,,,174,0.009258542076536593
250691668,250698924,Εδουάρδου Λω,residential,yes,119.42600000000002,,,,,,,,,,175,0.0002220397709375758
250691668,807999510,Χρήστου Λαδά,residential,yes,54.024,,,,,,,,,,176,2.581857801599719e-05
250691668,250691669,Σταδίου,primary,yes,82.13,3,,ΕΟ1,,,,,,,177,0.005571649135852194
250698924,250698925,Πανεπιστημίου,primary,yes,140.182,5,,,,50,,,,,178,0.01159770524478594
